x,y
9501.254674198424,39021.00620574429
29314.63922143156,5123.709125156969
12032.566674264874,45125.28265329383
23036.340176460413,19945.84989331642
6171.790756130092,43571.0163127116
20490.40092935453,18915.15370652726
20126.058467317278,11165.55088464509
12140.355399103959,43175.02313248606
12051.015054974365,44107.96630412234
6529.703131666524,41545.83676081577
20249.381873111783,3717.637341389728
15279.32999469746,10981.69757850704
8635.375187662072,46910.153587188935
12182.319451326635,10729.639127888642
5483.998026551848,38949.46945640474
16840.489076851227,20744.65315759431
17016.988748679058,20823.104867284143
22278.271149278276,16540.46978094484
2701.644121724506,16377.956182814027
11907.620578497996,11194.72913399547
23612.210641285692,5084.972694648151
27038.274723344457,7362.048129281574
6863.589140949655,46951.4419919613
12230.684854828432,23447.43387639938
25766.8262172526,7049.563400251345
6801.0915680816515,45121.43852934354
29612.76099153567,11705.341185006046
11809.079475062264,13391.316048278946
19708.53613356144,17970.642616954752
10900.430652413905,19316.832790328226
5131.142041352149,41264.49806366918
29893.85409040606,8129.879799097642
24151.958312817987,10486.787296898081
14881.158955619732,14870.061531207639
23777.90962161241,15488.926112152718
12396.097245704936,28663.920970820836
28884.626369517257,13649.053397150656
8137.979490736153,44614.74705241256
23552.28205128205,8335.088417329796
17220.491509018917,21012.392256929168
31401.913989845674,17562.995827678078
30491.40479212948,6649.0
16461.07242923854,15792.65977318212
10236.95484174056,29508.13359563098
25483.82463690156,14017.052537206384
23326.43383848324,23945.77412582825
20796.206154427033,11427.414975457807
26544.059753343758,3306.7264200104223
19062.629891812474,17181.221517296646
4857.8559122777015,46611.17730420657
7685.789373155061,46748.47291196388
21638.592891573262,15026.279052209768
11162.78806943959,29932.153908889664
24243.369975593963,5791.330826318674
6462.844212292207,41217.6140765594
23976.174009080867,18762.574303595535
13282.044104565412,11958.891818990502
7499.697919129818,43150.52400094585
24912.927334246353,6275.785708531378
12122.814878225223,39879.500458162525
24510.971736823485,10358.619915104351
30237.48175147929,10063.131360946745
10322.032441016334,9184.69060798548
16693.0746364414,26975.30881094953
16153.217503834356,28755.220858895707
5227.167078382935,21910.63433713681
23043.32942079364,11912.747686334702
20284.876760497868,18851.932259204823
5334.139543769822,16812.812578808607
11053.554243572178,20532.135608930443
6377.654691103289,38382.78310474572
18390.870372937752,4288.599195896299
24690.678226382897,10943.814337429962
6974.5101894567115,48887.76888968514
9375.953259827422,26672.03561156006
15447.81697612732,9633.949369444832
29545.40214671408,2644.5439878835773
9837.39961067853,50751.28865406007
25590.74394301147,21581.497534150065
22209.490641505563,16274.342905492025
20256.29306006124,17586.136312645907
11209.877624113475,18466.306382978724
16077.391082827415,28330.490737306496
24161.4736411933,6621.198882985969
17705.290046337028,11020.068977652649
25260.530194430714,2582.9738836711153
19046.86434108527,18069.628205128203
16008.86004423889,22897.91775588176
4631.566981132076,32319.532547169812
22453.19390807724,14754.293445743813
14808.276640704133,11632.058345848905
11337.866081488275,10043.72734180532
6913.851521817202,22180.457555216377
19378.43177620858,20775.559858772405
1871.2096427874294,13862.020300605114
12037.028854561353,34153.19236374235
28368.107656293734,19989.58339482456
5840.419450378715,20859.257088755097
17669.529269949067,9859.96078098472
5629.400321974778,11193.055943117788
26344.74350892991,4678.363800090049
16106.597967533326,20081.211798864988
25225.96570056594,7663.68255873778
8378.58855349272,31895.78736476559
14854.982772574864,24715.106902532083
23186.036261831752,15292.697107052392
7984.427822580645,39466.042137096774
1098.409549817941,13918.583250579279
